slno,file,nspk
123,./playback/STIMULI/english/wavFilesTest/61-70968-0044_61-70968-0034_02_77_nspkrs_1.wav,1
33,./playback/STIMULI/english/wavFilesTest/1988-24833-0010_1988-147956-0016_03_03_nspkrs_1.wav,1
125,./playback/STIMULI/english/wavFilesTest/6119-48032-0036_6119-48032-0029_02_80_nspkrs_1.wav,1
137,./playback/STIMULI/english/wavFilesTest/6848-252322-0023_8527-281131-0007_02_76_nspkrs_2.wav,2
120,./playback/STIMULI/english/wavFilesTest/5883-59268-0062_8028-233382-0047_03_27_nspkrs_2.wav,2
104,./playback/STIMULI/english/wavFilesTest/5393-19218-0013_5895-34622-0018_04_98_nspkrs_2.wav,2
157,./playback/STIMULI/english/wavFilesTest/8848-293963-0036_8848-293963-0009_04_54_nspkrs_1.wav,1
144,./playback/STIMULI/english/wavFilesTest/7188-82904-0005_8619-291379-0027_03_89_nspkrs_2.wav,2
136,./playback/STIMULI/english/wavFilesTest/667-158816-0029_667-105002-0038_02_96_nspkrs_1.wav,1
106,./playback/STIMULI/english/wavFilesTest/5588-39648-0042_7495-252341-0013_02_88_nspkrs_2.wav,2
